invoice_no,taxable_amount,gst_amount,total_amount,date,merchant_id,payment_id
INV-2026-724577,5571.01,1002.78,6573.79,2026-08-28,MERCH_005,pay_f604626d5496
INV-2026-636694,24747.9,4454.62,29202.52,2026-08-28,MERCH_005,pay_77c39fca42da
INV-2026-301719,4508.53,811.54,5320.07,2026-08-22,MERCH_001,pay_7916878f2282
INV-2026-182796,18567.7,3342.19,21909.89,2026-08-22,MERCH_001,pay_92d001e0aea1
INV-2026-481918,33888.97,6100.02,39988.99,2026-08-09,MERCH_002,pay_12c1c3492f6f
INV-2026-644251,28291.07,5092.39,33383.46,2026-08-10,MERCH_001,pay_ae7dcc72d4a6
INV-2026-920708,12303.52,2214.63,14518.15,2026-08-22,MERCH_001,pay_52d6ea299c83
INV-2026-344940,36708.49,6607.53,43316.02,2026-08-15,MERCH_002,pay_f9e58e03c11f
INV-2026-360825,21093.14,3796.76,24889.9,2026-08-05,MERCH_005,pay_57ebfb6a6d05
INV-2026-192504,10065.69,1811.82,11877.51,2026-08-22,MERCH_004,pay_81fd905a506e
INV-2026-9053,18660.53,3358.9,22019.43,2026-08-08,MERCH_004,pay_86405c0a6e33
INV-2026-742944,10770.21,1938.64,12708.85,2026-08-19,MERCH_003,pay_b40e170d0c93
INV-2026-867411,22989.06,4138.03,27127.09,2026-08-21,MERCH_003,pay_dd2597a966ca
INV-2026-567554,25878.85,4658.19,30537.04,2026-08-22,MERCH_003,pay_acd2dfda7385
INV-2026-476361,37379.75,6728.35,44108.1,2026-08-16,MERCH_005,pay_edd706cfd14d
INV-2026-151355,35361.05,5410.24,40771.29,2026-08-22,MERCH_002,pay_2b7ae4a34272
INV-2026-324249,7193.58,1294.85,8488.43,2026-08-21,MERCH_002,pay_341ad48231f8
INV-2026-383230,17984.89,3237.28,21222.17,2026-08-15,MERCH_005,pay_806fb31ca0b0
INV-2026-893882,9202.35,1656.42,10858.77,2026-08-19,MERCH_003,pay_1f3dd91d0a40
INV-2026-266464,8984.79,1617.26,10602.05,2026-08-14,MERCH_001,pay_26c1868b27c5
INV-2026-126162,18875.38,2887.93,21763.31,2026-08-26,MERCH_002,pay_0102e435d238
INV-2026-783227,6340.96,1312.58,7653.54,2026-08-16,MERCH_003,pay_8965c82eb925
INV-2026-645678,37950.38,6831.07,44781.45,2026-08-28,MERCH_005,pay_08b5c22059d7
INV-2026-843634,32512.18,5852.19,38364.37,2026-08-22,MERCH_001,pay_d90ab91743e8
INV-2026-62683,15206.02,2326.52,17532.54,2026-08-06,MERCH_002,pay_60add9ce31d5
INV-2026-667008,17847.45,3212.54,21059.99,2026-08-11,MERCH_001,pay_fe3831b35b80
INV-2026-737788,37841.85,6811.53,44653.38,2026-08-28,MERCH_004,pay_1a53f14728e5
INV-2026-104524,32205.6,5797.01,38002.61,2026-08-28,MERCH_003,pay_322aa8966ed3
INV-2026-277948,13190.58,2374.31,15564.89,2026-08-21,MERCH_005,pay_17118a868267
INV-2026-292793,7253.03,1305.54,8558.57,2026-08-17,MERCH_004,pay_b1a03ef893f1
INV-2026-722498,9346.98,1682.46,11029.44,2026-08-06,MERCH_005,pay_6752b997c4cc
INV-2026-696747,33735.7,6072.43,39808.13,2026-08-14,MERCH_003,pay_29ffab5ff774
INV-2026-700801,9796.91,1763.44,11560.35,2026-08-06,MERCH_003,pay_0d59688e61cf
INV-2026-479733,37467.55,6744.16,44211.71,2026-08-06,MERCH_002,pay_a6fe05177ca2
INV-2026-619079,20093.23,4159.3,24252.53,2026-08-18,MERCH_004,pay_c58bd864f79b
INV-2026-544789,36914.86,6644.67,43559.53,2026-08-13,MERCH_004,pay_1b33ec832af1
INV-2026-227546,3669.84,759.66,4429.5,2026-08-24,MERCH_003,pay_ff5255b24f41
INV-2026-135418,11712.56,2108.26,13820.82,2026-08-21,MERCH_002,pay_1356a3027841
INV-2026-600631,20828.17,3749.07,24577.24,2026-08-25,MERCH_002,pay_a6ffbf729e75
INV-2026-685452,13758.41,2476.51,16234.92,2026-08-04,MERCH_005,pay_c37be0146cc2
INV-2026-296654,18789.14,3382.04,22171.18,2026-08-24,MERCH_002,pay_68ad4a8db619
INV-2026-691718,32522.27,5854.01,38376.28,2026-08-21,MERCH_001,pay_cc8760ef5562
INV-2026-96108,29783.83,5361.09,35144.92,2026-08-04,MERCH_003,pay_e70df58c29fa
INV-2026-680674,19362.56,3485.26,22847.82,2026-08-27,MERCH_001,pay_09643687434c
INV-2026-968975,17129.0,3083.22,20212.22,2026-08-17,MERCH_002,pay_f4a115f24450
INV-2026-554770,6725.35,1392.14,8117.49,2026-08-21,MERCH_002,pay_17bc64c7884a
INV-2026-444314,32608.65,5869.56,38478.21,2026-08-23,MERCH_002,pay_4e4e23ef8dde
INV-2026-861448,28725.4,5170.57,33895.97,2026-08-04,MERCH_003,pay_627fd2c998e5
INV-2026-961864,34935.53,6288.4,41223.93,2026-08-22,MERCH_005,pay_cd88194c9abb
INV-2026-680526,37372.89,6727.12,44100.01,2026-08-24,MERCH_004,pay_65b4fb1bf922
INV-2026-768315,16440.21,2959.24,19399.45,2026-08-15,MERCH_004,pay_d329b31032ec
INV-2026-439303,21651.43,3312.67,24964.1,2026-08-06,MERCH_003,pay_422d3b035e2b
INV-2026-507817,34744.15,6253.95,40998.1,2026-08-07,MERCH_001,pay_00cb3ef2103c
INV-2026-63499,12454.55,2241.82,14696.37,2026-08-21,MERCH_002,pay_db6a36499f24
INV-2026-979184,31492.46,5668.64,37161.1,2026-08-18,MERCH_001,pay_e49def429593
INV-2026-615163,29867.65,5376.18,35243.83,2026-08-11,MERCH_005,pay_f4116410bd73
INV-2026-801524,23032.37,4145.83,27178.2,2026-08-27,MERCH_003,pay_8701b5da2451
INV-2026-666763,12613.58,2270.45,14884.03,2026-08-25,MERCH_003,pay_9c884c4ac13b
INV-2026-137931,35445.14,6380.13,41825.27,2026-08-16,MERCH_001,pay_28565dfa9be5
INV-2026-110358,20641.69,3715.5,24357.19,2026-08-10,MERCH_002,pay_576c8bb5e0d5
INV-2026-589475,31072.99,5593.14,36666.13,2026-08-13,MERCH_004,pay_acb95e062897
INV-2026-635784,10087.49,1543.39,11630.88,2026-08-13,MERCH_001,pay_8384dc61e3f3
INV-2026-675433,29594.84,5327.07,34921.91,2026-08-15,MERCH_003,pay_4c5e3a4b89eb
INV-2026-962480,14739.54,2653.12,17392.66,2026-08-05,MERCH_004,pay_937d4a68f556
INV-2026-387358,29700.69,5346.12,35046.81,2026-08-22,MERCH_003,pay_c2520dcfc520
INV-2026-650321,26254.69,4725.84,30980.53,2026-08-15,MERCH_001,pay_58bd27751a57
INV-2026-109742,22577.28,4063.91,26641.19,2026-08-28,MERCH_001,pay_08baa6b61311
INV-2026-423085,1536.27,276.53,1812.8,2026-08-12,MERCH_003,pay_43f233044f45
INV-2026-12664,35411.0,6373.98,41784.98,2026-08-04,MERCH_003,pay_8ff55da39ed4
INV-2026-69731,1874.71,337.45,2212.16,2026-08-17,MERCH_005,pay_7289c5cde759
INV-2026-532607,2812.49,506.25,3318.74,2026-08-11,MERCH_005,pay_524739d2b386
INV-2026-833540,30435.78,5478.44,35914.22,2026-08-14,MERCH_002,pay_706b1daac629
INV-2026-819516,4890.05,880.21,5770.26,2026-08-18,MERCH_002,pay_c7d50de0919e
INV-2026-852064,18909.97,3403.79,22313.76,2026-08-20,MERCH_004,pay_106006ffc953
INV-2026-842358,17138.53,3084.93,20223.46,2026-08-13,MERCH_005,pay_319a1871399e
INV-2026-712411,4370.31,786.65,5156.96,2026-08-17,MERCH_005,pay_337dd498adf1
INV-2026-762578,34550.42,6219.08,40769.5,2026-08-24,MERCH_004,pay_ebc7aa537d72
INV-2026-43510,14995.15,3104.0,18099.15,2026-08-13,MERCH_002,pay_07636918cea3
INV-2026-702312,30983.84,5577.09,36560.93,2026-08-22,MERCH_001,pay_4bc7a42adac1
INV-2026-800492,2231.78,401.72,2633.5,2026-08-22,MERCH_001,pay_0bfb37065fee
INV-2026-614390,28150.55,5067.1,33217.65,2026-08-17,MERCH_005,pay_d9161809fed6
INV-2026-426037,8822.2,1588.0,10410.2,2026-08-04,MERCH_002,pay_3421284b659c
INV-2026-171057,26589.89,4786.18,31376.07,2026-08-11,MERCH_002,pay_5da9abaa92df
INV-2026-995298,22862.2,4115.2,26977.4,2026-08-04,MERCH_003,pay_8db32d0ef809
INV-2026-562059,19765.49,3557.79,23323.28,2026-08-22,MERCH_001,pay_c3cc8fd69baf
INV-2026-833870,12443.4,2239.81,14683.21,2026-08-18,MERCH_002,pay_c00dc6b08b02
INV-2026-668488,1114.03,200.52,1314.55,2026-08-10,MERCH_005,pay_ef6d30f44404
INV-2026-201502,26604.69,4788.84,31393.53,2026-08-13,MERCH_003,pay_fa947c122d69
INV-2026-298241,31741.83,5713.53,37455.36,2026-08-21,MERCH_002,pay_26990d5ec50f
INV-2026-464827,30723.69,5530.26,36253.95,2026-08-07,MERCH_001,pay_7c1d95128e93
INV-2026-533211,13277.98,2390.04,15668.02,2026-08-07,MERCH_001,pay_7c51261f714b
INV-2026-473813,25992.76,4678.7,30671.46,2026-08-28,MERCH_003,pay_23d689b9c494
INV-2026-934356,30048.36,5408.7,35457.06,2026-08-29,MERCH_003,pay_16696bf96d97
INV-2026-550825,34717.92,6249.23,40967.15,2026-08-29,MERCH_003,pay_c08cf364cf8e
INV-2026-695235,30591.08,5506.4,36097.48,2026-08-16,MERCH_002,pay_c89685c5b758
INV-2026-693666,12605.65,2269.02,14874.67,2026-08-21,MERCH_003,pay_820e6731d358
INV-2026-443434,24810.79,4465.94,29276.73,2026-08-15,MERCH_001,pay_a4041f423a4e
INV-2026-994098,37361.0,6724.98,44085.98,2026-08-22,MERCH_003,pay_46d8767670e5
INV-2026-68980,21222.93,3820.13,25043.06,2026-08-22,MERCH_003,pay_94fda8935e61
INV-2026-876296,12886.08,2319.5,15205.58,2026-08-19,MERCH_005,pay_6c332fac25bf
INV-2026-382135,22299.47,4013.91,26313.38,2026-08-10,MERCH_001,pay_1b438a63b260
INV-2026-349460,18021.52,3243.87,21265.39,2026-08-12,MERCH_004,pay_f3f4afdcfa58
INV-2026-79987,16464.63,2963.63,19428.26,2026-08-27,MERCH_002,pay_cd3777cf8700
INV-2026-708028,4406.92,793.25,5200.17,2026-08-07,MERCH_002,pay_de4315782af2
INV-2026-339713,23099.75,4157.95,27257.7,2026-08-27,MERCH_003,pay_7ed763766cc9
INV-2026-619266,32762.35,5897.22,38659.57,2026-08-23,MERCH_005,pay_c0e5f224663c
INV-2026-497076,30862.01,5555.16,36417.17,2026-08-18,MERCH_001,pay_f13247d26e1a
INV-2026-240063,34240.53,6163.29,40403.82,2026-08-17,MERCH_001,pay_8c38bdbfe645
INV-2026-654946,34567.62,6222.17,40789.79,2026-08-06,MERCH_003,pay_d1e4507a09f7
INV-2026-160008,36593.17,6586.77,43179.94,2026-08-10,MERCH_001,pay_e96e9f0bd18f
INV-2026-509187,19154.38,3447.79,22602.17,2026-08-21,MERCH_001,pay_b92b7766e4b7
INV-2026-56118,3281.53,590.68,3872.21,2026-08-13,MERCH_002,pay_d5c27e77be6c
INV-2026-697285,23841.4,4291.45,28132.85,2026-08-04,MERCH_004,pay_cef0db406fbe
INV-2026-986771,15056.25,2710.12,17766.37,2026-08-28,MERCH_004,pay_90db67e25e7f
INV-2026-168727,5900.57,1062.1,6962.67,2026-08-04,MERCH_001,pay_708280525286
INV-2026-271478,12370.56,2226.7,14597.26,2026-08-17,MERCH_003,pay_47f80d3748e2
INV-2026-867250,4113.35,740.4,4853.75,2026-08-25,MERCH_005,pay_78545a919b47
INV-2026-778928,9215.81,1658.84,10874.65,2026-08-22,MERCH_003,pay_7eb7b0074fce
INV-2026-475314,3779.72,680.35,4460.07,2026-08-24,MERCH_002,pay_5f0fe6744876
INV-2026-99809,13327.86,2399.02,15726.88,2026-08-24,MERCH_005,pay_ba116df19dd2
INV-2026-641133,765.97,137.87,903.84,2026-08-06,MERCH_005,pay_9f7587f12ff5
INV-2026-103859,10823.61,1948.25,12771.86,2026-08-21,MERCH_002,pay_14b662264ff2
INV-2026-284497,3232.33,581.82,3814.15,2026-08-27,MERCH_001,pay_1f42b8df2cb7
INV-2026-984625,25942.59,4669.67,30612.26,2026-08-15,MERCH_005,pay_c81335b9a66a
INV-2026-86900,7097.3,1277.51,8374.81,2026-08-08,MERCH_004,pay_59b419471992
INV-2026-753647,20959.73,3772.75,24732.48,2026-08-07,MERCH_003,pay_82bd3afb5e5f
INV-2026-439123,29745.43,5354.18,35099.61,2026-08-14,MERCH_004,pay_6433d599798f
INV-2026-953493,4983.77,897.08,5880.85,2026-08-24,MERCH_001,pay_e2bd2df4cd21
INV-2026-472561,15924.31,2866.38,18790.69,2026-08-27,MERCH_005,pay_5871b9e9a50b
INV-2026-890723,28556.07,5140.09,33696.16,2026-08-04,MERCH_001,pay_022a74bf7a15
INV-2026-124531,23126.86,4162.83,27289.69,2026-08-06,MERCH_002,pay_3c5cae42a3b9
INV-2026-631913,30650.07,5517.01,36167.08,2026-08-23,MERCH_002,pay_fcabbfdab0d7
INV-2026-587477,35941.81,6469.53,42411.34,2026-08-09,MERCH_004,pay_2ea3659e68ca
INV-2026-237889,28194.7,5075.05,33269.75,2026-08-25,MERCH_003,pay_c720ba4cf6db
INV-2026-24758,13100.72,2358.13,15458.85,2026-08-19,MERCH_005,pay_dbd0822b0451
INV-2026-180439,2506.52,451.17,2957.69,2026-08-21,MERCH_005,pay_7baf29993f2d
INV-2026-275295,17547.95,3158.63,20706.58,2026-08-28,MERCH_004,pay_c4dd8a52f468
INV-2026-373925,35984.32,6477.18,42461.5,2026-08-14,MERCH_001,pay_e26e4c77dfe6
INV-2026-816709,23092.08,4156.57,27248.65,2026-08-09,MERCH_003,pay_f9447ceed455
INV-2026-929909,31176.07,5611.69,36787.76,2026-08-12,MERCH_003,pay_8ffa41ecf4dd
INV-2026-946761,14530.44,2615.48,17145.92,2026-08-04,MERCH_001,pay_49b7452ef81c
INV-2026-666075,3956.71,712.21,4668.92,2026-08-28,MERCH_001,pay_fb6c3be6d360
INV-2026-821950,10924.54,1966.42,12890.96,2026-08-12,MERCH_001,pay_871f7368b03e
INV-2026-279262,24809.54,4465.72,29275.26,2026-08-16,MERCH_005,pay_d902f9fd08a1
INV-2026-531151,970.08,174.61,1144.69,2026-08-11,MERCH_001,pay_da036c361c74
INV-2026-33272,31282.61,5630.87,36913.48,2026-08-17,MERCH_001,pay_d01e5608c60a
INV-2026-928780,21336.98,3840.66,25177.64,2026-08-26,MERCH_002,pay_e7c27ba693e5
INV-2026-146102,5513.23,992.38,6505.61,2026-08-13,MERCH_005,pay_3982662e8367
INV-2026-338374,808.71,145.57,954.28,2026-08-28,MERCH_001,pay_4d809effebc7
INV-2026-534027,14438.59,2598.95,17037.54,2026-08-08,MERCH_003,pay_e61b2b54681b
INV-2026-781962,23849.03,4292.83,28141.86,2026-08-14,MERCH_004,pay_bbbc8a663191
INV-2026-374884,1615.55,290.8,1906.35,2026-08-29,MERCH_005,pay_9c96d9312efa
INV-2026-693381,8903.25,1602.58,10505.83,2026-08-14,MERCH_001,pay_81913bf718be
INV-2026-412397,17410.44,3133.88,20544.32,2026-08-28,MERCH_004,pay_5b1cda9fb106
INV-2026-498399,28870.0,5196.6,34066.6,2026-08-19,MERCH_005,pay_56ba8c0b58e5
INV-2026-339960,26540.8,4777.34,31318.14,2026-08-08,MERCH_005,pay_dee477ea785a
INV-2026-830362,834.14,150.14,984.28,2026-08-23,MERCH_001,pay_8e1517e0f866
INV-2026-308142,37067.09,6672.08,43739.17,2026-08-14,MERCH_002,pay_206e6a8435ae
INV-2026-888130,18092.98,3256.74,21349.72,2026-08-22,MERCH_005,pay_0f28adf846ba
INV-2026-326291,1947.76,350.6,2298.36,2026-08-24,MERCH_001,pay_e82e88f00634
INV-2026-67252,14662.21,2639.2,17301.41,2026-08-20,MERCH_004,pay_39ebc77dfc8e
INV-2026-725122,20879.22,3758.26,24637.48,2026-08-20,MERCH_005,pay_5ffb002339cf
INV-2026-473981,36271.89,6528.94,42800.83,2026-08-08,MERCH_004,pay_3081338df624
INV-2026-521860,31010.04,5581.81,36591.85,2026-08-12,MERCH_003,pay_6b2ac03049ff
INV-2026-897405,13122.9,2362.12,15485.02,2026-08-19,MERCH_002,pay_4170ab8f3788
INV-2026-867299,36106.25,6499.12,42605.37,2026-08-11,MERCH_001,pay_b2603886d4d8
INV-2026-773961,12625.82,2272.65,14898.47,2026-08-20,MERCH_002,pay_f2cb3dc8b08e
INV-2026-838917,12373.97,2227.31,14601.28,2026-08-28,MERCH_005,pay_e0054a19b518
INV-2026-28744,21175.4,3239.83,24415.23,2026-08-28,MERCH_004,pay_37de9e375d5b
INV-2026-416747,18026.36,3244.75,21271.11,2026-08-12,MERCH_003,pay_b3b023c589e1
INV-2026-587368,22250.15,4005.03,26255.18,2026-08-18,MERCH_004,pay_7b13191b3b96
INV-2026-833846,36300.01,6534.0,42834.01,2026-08-29,MERCH_002,pay_6516161ff9cc
INV-2026-462230,29164.61,5249.63,34414.24,2026-08-05,MERCH_004,pay_ca4dfad71bad
INV-2026-846512,3062.32,551.22,3613.54,2026-08-09,MERCH_004,pay_e4473fc8d1e1
INV-2026-705098,12992.51,2338.65,15331.16,2026-08-29,MERCH_003,pay_c80ae350be97
INV-2026-837852,19398.65,3491.76,22890.41,2026-08-17,MERCH_001,pay_37cce29e853b
INV-2026-149233,37001.14,6660.21,43661.35,2026-08-19,MERCH_001,pay_41fac97994b3
INV-2026-959999,12719.99,2289.6,15009.59,2026-08-21,MERCH_004,pay_33af33221fd4
INV-2026-827222,37243.55,6703.84,43947.39,2026-08-25,MERCH_003,pay_642e88d34087
INV-2026-101239,16498.28,2969.69,19467.97,2026-08-27,MERCH_004,pay_406490cbad05
INV-2026-107418,16444.21,2959.96,19404.17,2026-08-25,MERCH_004,pay_c00b2d51d735
INV-2026-983708,16138.3,2904.89,19043.19,2026-08-19,MERCH_004,pay_3c3c4053a297
INV-2026-310964,4157.03,748.27,4905.3,2026-08-29,MERCH_001,pay_ffe863eaae87
INV-2026-671259,35453.74,6381.67,41835.41,2026-08-21,MERCH_002,pay_090b801223ce
INV-2026-770553,18176.38,3271.75,21448.13,2026-08-24,MERCH_002,pay_0f901c4caf24
INV-2026-656306,18534.18,3336.15,21870.33,2026-08-25,MERCH_002,pay_4c8f84723971
INV-2026-895524,15367.77,2766.2,18133.97,2026-08-27,MERCH_001,pay_4e687f4c5cf9
INV-2026-901259,1233.4,222.01,1455.41,2026-08-15,MERCH_003,pay_c9ddf54709f3
INV-2026-220458,29557.05,5320.27,34877.32,2026-08-05,MERCH_005,pay_47a7085c9793
INV-2026-187497,2162.11,389.18,2551.29,2026-08-29,MERCH_004,pay_831c5a3db449
INV-2026-812196,14288.3,2571.89,16860.19,2026-08-18,MERCH_005,pay_52db0420088e
INV-2026-431350,20748.9,3734.8,24483.7,2026-08-24,MERCH_003,pay_8628b28acddd
INV-2026-869871,24162.04,4349.17,28511.21,2026-08-20,MERCH_004,pay_13aa0c2d204f
INV-2026-800519,29652.61,5337.47,34990.08,2026-08-23,MERCH_001,pay_7344527bbfea
INV-2026-446314,10317.27,1857.11,12174.38,2026-08-05,MERCH_005,pay_87a61d7f6640
INV-2026-229737,5558.77,1000.58,6559.35,2026-08-18,MERCH_003,pay_72167d67acfe
INV-2026-676143,15261.5,2747.07,18008.57,2026-08-11,MERCH_002,pay_b8e8cd79da48
INV-2026-222313,23425.14,4216.52,27641.66,2026-08-05,MERCH_004,pay_ee6ddab1955b
INV-2026-319302,16085.57,2895.4,18980.97,2026-08-07,MERCH_003,pay_2b6aff9df12b
INV-2026-602380,31901.64,5742.3,37643.94,2026-08-10,MERCH_005,pay_540f26b18571
INV-2026-848340,34447.59,6200.57,40648.16,2026-08-19,MERCH_005,pay_ec6328d88421
INV-2026-112477,26992.42,4858.64,31851.06,2026-08-22,MERCH_004,pay_37cf10d536ff
INV-2026-480545,17872.11,3216.98,21089.09,2026-08-09,MERCH_002,pay_f77be681aa6e
INV-2026-151205,12027.36,2164.92,14192.28,2026-08-27,MERCH_004,pay_8b0941b6860f
INV-2026-63991,2676.1,481.7,3157.8,2026-08-13,MERCH_002,pay_81b821d32df5
INV-2026-720405,14282.95,2570.93,16853.88,2026-08-08,MERCH_005,pay_9e42ab5087bb
INV-2026-677687,18976.64,3415.79,22392.43,2026-08-05,MERCH_001,pay_879bcb4de039
INV-2026-270104,28514.17,5132.55,33646.72,2026-08-08,MERCH_005,pay_661b155a44e2
INV-2026-870274,1448.43,260.72,1709.15,2026-08-07,MERCH_003,pay_367ca79f0580
INV-2026-62153,24776.02,4459.68,29235.7,2026-08-25,MERCH_003,pay_e22280c98d05
INV-2026-275080,25113.36,4520.4,29633.76,2026-08-05,MERCH_005,pay_f26a5badd6fe
INV-2026-226480,21116.67,4371.15,25487.82,2026-08-07,MERCH_004,pay_09b3ed08c7b3
INV-2026-360743,31349.26,5642.87,36992.13,2026-08-20,MERCH_002,pay_1b6f5ec1ca85
INV-2026-604669,27013.58,4862.45,31876.03,2026-08-28,MERCH_003,pay_30a5383db898
INV-2026-754245,1651.42,297.25,1948.67,2026-08-05,MERCH_005,pay_cb82b13054d9
INV-2026-136651,18133.62,3753.66,21887.28,2026-08-17,MERCH_003,pay_ca34aa9c095a
INV-2026-216740,31436.98,5658.66,37095.64,2026-08-27,MERCH_001,pay_fef4004ba037
INV-2026-935753,35227.25,6340.9,41568.15,2026-08-09,MERCH_002,pay_9e152ca16e25
INV-2026-346073,37427.69,6736.99,44164.68,2026-08-27,MERCH_003,pay_19bac05c26d1
INV-2026-322671,24623.94,4432.31,29056.25,2026-08-20,MERCH_004,pay_cf629de3351a
INV-2026-110887,13829.53,2489.31,16318.84,2026-08-04,MERCH_003,pay_480b00d2e045
INV-2026-312839,26380.24,4748.44,31128.68,2026-08-05,MERCH_003,pay_f3fb321c4a4e
INV-2026-576422,31860.83,5734.95,37595.78,2026-08-18,MERCH_002,pay_e38697f28a11
INV-2026-746706,20231.08,3641.59,23872.67,2026-08-20,MERCH_003,pay_8cbd3f514982
INV-2026-962027,7518.58,1353.35,8871.93,2026-08-15,MERCH_005,pay_bc3454cc4137
INV-2026-172399,33796.38,6083.35,39879.73,2026-08-21,MERCH_005,pay_0aae112fe732
INV-2026-132103,35042.28,6307.61,41349.89,2026-08-17,MERCH_005,pay_af4175cca6b8
INV-2026-184997,14861.25,2675.03,17536.28,2026-08-14,MERCH_001,pay_049e8c2b00a7
INV-2026-187779,28877.74,5197.99,34075.73,2026-08-13,MERCH_003,pay_3e379805a8da
INV-2026-965191,10729.92,1931.39,12661.31,2026-08-27,MERCH_002,pay_435794872c6f
INV-2026-541986,10303.14,1854.56,12157.7,2026-08-04,MERCH_001,pay_e02cfc792dec
INV-2026-914346,10098.84,1817.79,11916.63,2026-08-17,MERCH_003,pay_d219b50ec80b
INV-2026-425304,20897.92,3761.63,24659.55,2026-08-07,MERCH_004,pay_6f1350337666
INV-2026-795296,14555.71,2620.03,17175.74,2026-08-11,MERCH_002,pay_a1c979eafdef
INV-2026-364155,17089.35,3076.08,20165.43,2026-08-17,MERCH_003,pay_30061ac8fe7e
INV-2026-752635,21796.04,3923.29,25719.33,2026-08-18,MERCH_005,pay_3820f8e02b34
INV-2026-747028,1862.95,335.33,2198.28,2026-08-29,MERCH_001,pay_c10dc066794f
INV-2026-253979,1409.58,253.72,1663.3,2026-08-27,MERCH_001,pay_4dbb57e14d36
INV-2026-499403,23231.09,4181.6,27412.69,2026-08-12,MERCH_004,pay_b44d3abc2ba6
INV-2026-839427,32500.14,5850.02,38350.16,2026-08-16,MERCH_003,pay_516503cd9260
INV-2026-221535,37783.16,6800.97,44584.13,2026-08-07,MERCH_002,pay_087c805e8bc9
INV-2026-580867,31495.86,5669.26,37165.12,2026-08-18,MERCH_002,pay_d40f5c33c1d2
INV-2026-74431,22400.16,4032.03,26432.19,2026-08-17,MERCH_003,pay_57ddc16fa56c
INV-2026-532199,18070.97,3252.78,21323.75,2026-08-17,MERCH_002,pay_c1e7db5e3c21
INV-2026-389714,6076.14,1093.7,7169.84,2026-08-21,MERCH_001,pay_526f335e04dc
INV-2026-552207,25171.47,4530.86,29702.33,2026-08-04,MERCH_002,pay_90393f43f84d
INV-2026-124666,24529.75,4415.36,28945.11,2026-08-13,MERCH_002,pay_cf4c36aaab13
INV-2026-839684,21959.19,3952.65,25911.84,2026-08-15,MERCH_003,pay_1180c737e9b1
INV-2026-792766,13945.1,2510.12,16455.22,2026-08-04,MERCH_001,pay_2ba99c48573f
INV-2026-406673,18392.58,3310.67,21703.25,2026-08-18,MERCH_004,pay_0b22fd20f2fe
INV-2026-118340,6443.66,1159.86,7603.52,2026-08-16,MERCH_004,pay_4ccc4c839269
INV-2026-271529,12949.62,2330.93,15280.55,2026-08-29,MERCH_003,pay_f8d95e14f82d
INV-2026-933285,32469.27,5844.47,38313.74,2026-08-27,MERCH_005,pay_f0b8eac0fa39
