txn_ref,utr,amount,value_date,narration,merchant_id
TXN3717905395,UTR25188744507,16043.46,2026-08-20,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN388578794,UTR387403287623,33651.08,2026-07-31,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN1106326958,UTR145631941604,35842.89,2026-08-13,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN4433487128,UTR857959762051,24949.56,2026-07-28,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN5762900942,UTR558875553646,21999.92,2026-08-01,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN8616255473,UTR460662350679,34279.23,2026-08-03,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN8727126808,UTR792378986186,21869.31,2026-08-16,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN2104976008,UTR920436609659,17470.05,2026-08-15,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN1392016114,,12547.36,2026-08-19,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN7640117818,UTR202516222947,38524.51,2026-08-22,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN3767689046,UTR200311378343,18489.36,2026-08-20,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN9561646513,,14614.21,2026-08-06,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN6702480868,UTR816031571320,11406.0,2026-08-10,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN5770448476,UTR894885083654,3521.11,2026-08-09,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN9575549058,UTR27185643531,23430.91,2026-08-22,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN4614983214,UTR14899803219,33599.2,2026-08-12,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN6904548436,UTR619133788282,28328.33,2026-08-13,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN6407048858,UTR276267968973,13759.74,2026-08-08,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN1883580727,UTR961184942946,15079.71,2026-08-07,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN6696083168,UTR405078290914,14448.0,2026-08-12,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN7388190057,UTR542330883794,36677.2,2026-08-08,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN2597998601,UTR891847135336,15156.88,2026-08-17,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN1020191747,UTR31265224790,22497.52,2026-08-19,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN4147612126,UTR154116338456,2017.21,2026-08-06,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN4166662390,UTR501598633425,26811.49,2026-08-03,NEFT-RAZORPAY-MERCH_001,MERCH_001
TXN6363241974,UTR119229359780,44241.42,2026-08-02,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN9088301039,,38547.61,2026-08-18,NEFT-RAZORPAY-MERCH_002,MERCH_002
TXN4877442500,UTR434140854000,25608.17,2026-08-04,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN4748320410,UTR851195759125,40448.48,2026-08-15,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN665220698,UTR150183464147,25669.78,2026-08-20,NEFT-RAZORPAY-MERCH_004,MERCH_004
TXN5185222750,UTR150183464147,25669.78,2026-08-20,NEFT-RAZORPAY-DUP-MERCH_004,MERCH_004
TXN4926927232,UTR605918968934,25261.38,2026-08-06,NEFT-RAZORPAY-MERCH_005,MERCH_005
TXN444983029,UTR228101728772,11821.81,2026-08-20,NEFT-RAZORPAY-MERCH_003,MERCH_003
TXN2969515559,,32771.99,2026-08-22,NEFT-RAZORPAY-MERCH_002,MERCH_002
TXN6052322294,UTR651959637639,13673.02,2026-08-09,DIRECT-UPI-CREDIT-UNLINKED,MERCH_005
TXN6162382030,UTR936192221913,5786.38,2026-08-20,DIRECT-UPI-CREDIT-UNLINKED,MERCH_005
TXN1390112004,UTR622941429654,5252.53,2026-08-12,DIRECT-UPI-CREDIT-UNLINKED,MERCH_004
